date,point_id,mgrs_tile,mgrs_zone,nlcd,nlcd_year,count,et,eto
2015-10-01,10SDJ_nlcd24_00,10SDJ,10S,24,2024,4.0,32.0,106
2015-10-01,10SDJ_nlcd24_01,10SDJ,10S,24,2024,4.0,50.0,106
2015-10-01,10SEG_nlcd24_00,10SEG,10S,24,2024,5.0,8.0,96
2015-10-01,10SEG_nlcd24_01,10SEG,10S,24,2024,5.0,35.0,65
2015-10-01,10SEH_nlcd24_00,10SEH,10S,24,2024,4.0,28.0,128
2015-10-01,10SEH_nlcd24_01,10SEH,10S,24,2024,5.0,10.0,121
2015-10-01,10SEJ_nlcd24_00,10SEJ,10S,24,2024,6.0,39.0,114
2015-10-01,10SEJ_nlcd24_01,10SEJ,10S,24,2024,5.0,6.0,121
2015-10-01,10SFE_nlcd24_00,10SFE,10S,24,2024,4.0,53.0,87
2015-10-01,10SFE_nlcd24_01,10SFE,10S,24,2024,4.0,33.0,81
2015-10-01,10SFF_nlcd24_00,10SFF,10S,24,2024,5.0,30.0,83
2015-10-01,10SFF_nlcd24_01,10SFF,10S,24,2024,5.0,25.0,102
2015-10-01,10SFG_nlcd24_00,10SFG,10S,24,2024,5.0,8.0,110
2015-10-01,10SFG_nlcd24_01,10SFG,10S,24,2024,5.0,13.0,99
2015-10-01,10SFH_nlcd24_00,10SFH,10S,24,2024,5.0,45.0,95
2015-10-01,10SFH_nlcd24_01,10SFH,10S,24,2024,4.0,14.0,90
2015-10-01,10SFJ_nlcd24_00,10SFJ,10S,24,2024,5.0,26.0,101
2015-10-01,10SFJ_nlcd24_01,10SFJ,10S,24,2024,5.0,34.0,100
2015-10-01,10SGD_nlcd24_00,10SGD,10S,24,2024,4.0,29.0,94
2015-10-01,10SGE_nlcd24_00,10SGE,10S,24,2024,5.0,21.0,109
2015-10-01,10SGF_nlcd24_00,10SGF,10S,24,2024,5.0,15.0,116
2015-10-01,10SGG_nlcd24_00,10SGG,10S,24,2024,4.0,23.0,108
2015-10-01,10SGH_nlcd24_00,10SGH,10S,24,2024,5.0,8.0,95
2015-10-01,10SGJ_nlcd24_00,10SGJ,10S,24,2024,4.0,6.0,74
2015-10-01,10SDJ_nlcd31_00,10SDJ,10S,31,2024,4.0,39.0,62
2015-10-01,10SDJ_nlcd31_01,10SDJ,10S,31,2024,4.0,8.0,50
2015-10-01,10SEG_nlcd31_00,10SEG,10S,31,2024,4.0,107.0,92
2015-10-01,10SEG_nlcd31_01,10SEG,10S,31,2024,4.0,59.0,58
2015-10-01,10SEH_nlcd31_00,10SEH,10S,31,2024,5.0,46.0,105
2015-10-01,10SEH_nlcd31_01,10SEH,10S,31,2024,5.0,17.0,114
2015-10-01,10SEJ_nlcd31_00,10SEJ,10S,31,2024,5.0,39.0,115
2015-10-01,10SEJ_nlcd31_01,10SEJ,10S,31,2024,5.0,13.0,121
2015-10-01,10SFE_nlcd31_00,10SFE,10S,31,2024,4.0,11.0,109
2015-10-01,10SFE_nlcd31_01,10SFE,10S,31,2024,5.0,23.0,109
2015-10-01,10SFF_nlcd31_00,10SFF,10S,31,2024,4.0,38.0,74
2015-10-01,10SFF_nlcd31_01,10SFF,10S,31,2024,4.0,43.0,86
2015-10-01,10SFG_nlcd31_00,10SFG,10S,31,2024,4.0,21.0,104
2015-10-01,10SFG_nlcd31_01,10SFG,10S,31,2024,5.0,11.0,109
2015-10-01,10SFH_nlcd31_00,10SFH,10S,31,2024,4.0,105.0,122
2015-10-01,10SFH_nlcd31_01,10SFH,10S,31,2024,4.0,78.0,100
2015-10-01,10SFJ_nlcd31_00,10SFJ,10S,31,2024,5.0,46.0,100
2015-10-01,10SFJ_nlcd31_01,10SFJ,10S,31,2024,5.0,25.0,101
2015-10-01,10SGD_nlcd31_00,10SGD,10S,31,2024,4.0,2.0,121
2015-10-01,10SGE_nlcd31_00,10SGE,10S,31,2024,5.0,35.0,115
2015-10-01,10SGF_nlcd31_00,10SGF,10S,31,2024,5.0,10.0,109
2015-10-01,10SGG_nlcd31_00,10SGG,10S,31,2024,4.0,30.0,104
2015-10-01,10SGH_nlcd31_00,10SGH,10S,31,2024,4.0,28.0,72
2015-10-01,10SGJ_nlcd31_00,10SGJ,10S,31,2024,4.0,12.0,66
2015-10-01,10SDJ_nlcd41_00,10SDJ,10S,41,2024,4.0,59.0,75
2015-10-01,10SDJ_nlcd41_01,10SDJ,10S,41,2024,4.0,82.0,102
2015-10-01,10SEG_nlcd41_00,10SEG,10S,41,2024,5.0,53.0,70
2015-10-01,10SEG_nlcd41_01,10SEG,10S,41,2024,5.0,64.0,90
2015-10-01,10SEH_nlcd41_00,10SEH,10S,41,2024,5.0,53.0,99
2015-10-01,10SEH_nlcd41_01,10SEH,10S,41,2024,5.0,71.0,93
2015-10-01,10SEJ_nlcd41_00,10SEJ,10S,41,2024,5.0,51.0,91
2015-10-01,10SEJ_nlcd41_01,10SEJ,10S,41,2024,5.0,54.0,91
2015-10-01,10SFE_nlcd41_00,10SFE,10S,41,2024,4.0,88.0,116
2015-10-01,10SFE_nlcd41_01,10SFE,10S,41,2024,4.0,36.0,116
2015-10-01,10SFF_nlcd41_00,10SFF,10S,41,2024,5.0,53.0,92
2015-10-01,10SFF_nlcd41_01,10SFF,10S,41,2024,5.0,35.0,98
2015-10-01,10SFG_nlcd41_00,10SFG,10S,41,2024,5.0,38.0,97
2015-10-01,10SFG_nlcd41_01,10SFG,10S,41,2024,4.0,40.0,107
2015-10-01,10SFH_nlcd41_00,10SFH,10S,41,2024,5.0,36.0,99
2015-10-01,10SFH_nlcd41_01,10SFH,10S,41,2024,5.0,39.0,96
2015-10-01,10SFJ_nlcd41_00,10SFJ,10S,41,2024,4.0,56.0,102
2015-10-01,10SFJ_nlcd41_01,10SFJ,10S,41,2024,4.0,49.0,97
2015-10-01,10SGD_nlcd41_00,10SGD,10S,41,2024,5.0,66.0,104
2015-10-01,10SGE_nlcd41_00,10SGE,10S,41,2024,4.0,60.0,101
2015-10-01,10SGF_nlcd41_00,10SGF,10S,41,2024,4.0,52.0,120
2015-10-01,10SGG_nlcd41_00,10SGG,10S,41,2024,5.0,46.0,100
2015-10-01,10SGH_nlcd41_00,10SGH,10S,41,2024,5.0,53.0,93
2015-10-01,10SGJ_nlcd41_00,10SGJ,10S,41,2024,,,65
2015-10-01,10SDJ_nlcd42_00,10SDJ,10S,42,2024,4.0,78.0,88
2015-10-01,10SDJ_nlcd42_01,10SDJ,10S,42,2024,5.0,74.0,78
