date,point_id,mgrs_tile,mgrs_zone,nlcd,nlcd_year,count,et,eto
2015-10-01,11ULP_nlcd24_00,11ULP,11U,24,2024,5.0,11.0,65
2015-10-01,11ULP_nlcd24_01,11ULP,11U,24,2024,5.0,14.0,40
2015-10-01,11UMP_nlcd24_00,11UMP,11U,24,2024,5.0,18.0,52
2015-10-01,11UMP_nlcd24_01,11UMP,11U,24,2024,5.0,18.0,45
2015-10-01,11UNP_nlcd24_00,11UNP,11U,24,2024,5.0,15.0,56
2015-10-01,11UNP_nlcd24_01,11UNP,11U,24,2024,4.0,10.0,55
2015-10-01,11UPP_nlcd24_00,11UPP,11U,24,2024,4.0,13.0,46
2015-10-01,11UPP_nlcd24_01,11UPP,11U,24,2024,5.0,23.0,50
2015-10-01,11ULP_nlcd31_00,11ULP,11U,31,2024,4.0,19.0,40
2015-10-01,11ULP_nlcd31_01,11ULP,11U,31,2024,4.0,6.0,52
2015-10-01,11UMP_nlcd31_00,11UMP,11U,31,2024,5.0,9.0,47
2015-10-01,11UMP_nlcd31_01,11UMP,11U,31,2024,4.0,18.0,50
2015-10-01,11UNP_nlcd31_00,11UNP,11U,31,2024,5.0,14.0,46
2015-10-01,11UNP_nlcd31_01,11UNP,11U,31,2024,5.0,9.0,42
2015-10-01,11UPP_nlcd31_00,11UPP,11U,31,2024,4.0,10.0,49
2015-10-01,11UPP_nlcd31_01,11UPP,11U,31,2024,4.0,24.0,47
2015-10-01,11ULP_nlcd41_00,11ULP,11U,41,2024,5.0,22.0,46
2015-10-01,11ULP_nlcd41_01,11ULP,11U,41,2024,5.0,17.0,45
2015-10-01,11UMP_nlcd41_00,11UMP,11U,41,2024,4.0,32.0,44
2015-10-01,11UMP_nlcd41_01,11UMP,11U,41,2024,5.0,27.0,47
2015-10-01,11UNP_nlcd41_00,11UNP,11U,41,2024,5.0,25.0,56
2015-10-01,11UNP_nlcd41_01,11UNP,11U,41,2024,5.0,28.0,55
2015-10-01,11UPP_nlcd41_00,11UPP,11U,41,2024,5.0,38.0,59
2015-10-01,11UPP_nlcd41_01,11UPP,11U,41,2024,5.0,23.0,47
2015-10-01,11ULP_nlcd42_00,11ULP,11U,42,2024,5.0,28.0,51
2015-10-01,11ULP_nlcd42_01,11ULP,11U,42,2024,4.0,43.0,50
2015-10-01,11UMP_nlcd42_00,11UMP,11U,42,2024,4.0,39.0,49
2015-10-01,11UMP_nlcd42_01,11UMP,11U,42,2024,4.0,31.0,47
2015-10-01,11UNP_nlcd42_00,11UNP,11U,42,2024,5.0,42.0,48
