date,point_id,mgrs,nlcd,count,et,eto
2015-10-01,12R_nlcd31_08,12R,31,5.0,30.0,112
2015-10-01,12R_nlcd41_08,12R,41,5.0,112.0,116
2015-10-01,12R_nlcd42_08,12R,42,5.0,79.0,108
2015-10-01,12R_nlcd43_08,12R,43,5.0,81.0,111
2015-10-01,12R_nlcd52_08,12R,52,4.0,55.0,121
2015-10-01,12R_nlcd71_08,12R,71,4.0,45.0,110
2015-10-01,12R_nlcd81_08,12R,81,4.0,87.0,105
2015-10-01,12R_nlcd82_08,12R,82,5.0,23.0,122
2015-10-01,12R_nlcd90_08,12R,90,5.0,93.0,107
2015-10-01,12R_nlcd31_07,12R,31,5.0,29.0,113
2015-10-01,12R_nlcd41_07,12R,41,4.0,100.0,111
2015-10-01,12R_nlcd42_07,12R,42,4.0,59.0,107
2015-10-01,12R_nlcd43_07,12R,43,5.0,89.0,108
2015-10-01,12R_nlcd52_07,12R,52,5.0,60.0,110
2015-10-01,12R_nlcd71_07,12R,71,4.0,43.0,99
2015-10-01,12R_nlcd81_07,12R,81,5.0,107.0,116
2015-10-01,12R_nlcd82_07,12R,82,4.0,31.0,116
2015-10-01,12R_nlcd90_07,12R,90,5.0,108.0,123
2015-10-01,12R_nlcd31_06,12R,31,5.0,29.0,113
2015-10-01,12R_nlcd41_06,12R,41,4.0,112.0,116
2015-10-01,12R_nlcd42_06,12R,42,4.0,81.0,106
2015-10-01,12R_nlcd43_06,12R,43,5.0,105.0,111
2015-10-01,12R_nlcd52_06,12R,52,6.0,32.0,123
2015-10-01,12R_nlcd71_06,12R,71,6.0,40.0,117
2015-10-01,12R_nlcd81_06,12R,81,5.0,83.0,104
2015-10-01,12R_nlcd82_06,12R,82,4.0,68.0,116
2015-10-01,12R_nlcd90_06,12R,90,5.0,87.0,104
2015-10-01,12R_nlcd31_05,12R,31,4.0,59.0,113
2015-10-01,12R_nlcd41_05,12R,41,4.0,101.0,117
2015-10-01,12R_nlcd42_05,12R,42,5.0,71.0,106
2015-10-01,12R_nlcd43_05,12R,43,5.0,110.0,117
2015-10-01,12R_nlcd52_05,12R,52,4.0,29.0,123
2015-10-01,12R_nlcd71_05,12R,71,4.0,51.0,99
2015-10-01,12R_nlcd81_05,12R,81,5.0,95.0,116
2015-10-01,12R_nlcd82_05,12R,82,6.0,63.0,121
2015-10-01,12R_nlcd90_05,12R,90,4.0,83.0,122
2015-10-01,12R_nlcd31_04,12R,31,4.0,58.0,116
2015-10-01,12R_nlcd41_04,12R,41,5.0,111.0,116
