date,point_id,mgrs_tile,mgrs_zone,nlcd,nlcd_year,count,et,eto
2015-10-01,19TBG_nlcd24_00,19TBG,19T,24,2024,5.0,21.0,53
2015-10-01,19TBH_nlcd24_00,19TBH,19T,24,2024,,,48
2015-10-01,19TBJ_nlcd24_00,19TBJ,19T,24,2024,4.0,18.0,46
2015-10-01,19TBK_nlcd24_00,19TBK,19T,24,2024,4.0,23.0,38
2015-10-01,19TCG_nlcd24_00,19TCG,19T,24,2024,4.0,3.0,48
2015-10-01,19TCG_nlcd24_01,19TCG,19T,24,2024,4.0,11.0,43
2015-10-01,19TCH_nlcd24_00,19TCH,19T,24,2024,4.0,10.0,45
2015-10-01,19TCH_nlcd24_01,19TCH,19T,24,2024,4.0,3.0,48
2015-10-01,19TCJ_nlcd24_00,19TCJ,19T,24,2024,4.0,12.0,51
2015-10-01,19TCJ_nlcd24_01,19TCJ,19T,24,2024,4.0,0.0,45
2015-10-01,19TCK_nlcd24_00,19TCK,19T,24,2024,5.0,15.0,37
2015-10-01,19TCK_nlcd24_01,19TCK,19T,24,2024,5.0,10.0,37
2015-10-01,19TDJ_nlcd24_00,19TDJ,19T,24,2024,5.0,21.0,46
2015-10-01,19TDJ_nlcd24_01,19TDJ,19T,24,2024,4.0,7.0,44
2015-10-01,19TDK_nlcd24_00,19TDK,19T,24,2024,4.0,8.0,39
2015-10-01,19TDK_nlcd24_01,19TDK,19T,24,2024,4.0,11.0,44
2015-10-01,19TDL_nlcd24_00,19TDL,19T,24,2024,4.0,13.0,39
2015-10-01,19TDL_nlcd24_01,19TDL,19T,24,2024,6.0,31.0,39
2015-10-01,19TDM_nlcd24_00,19TDM,19T,24,2024,4.0,20.0,34
2015-10-01,19TDM_nlcd24_01,19TDM,19T,24,2024,4.0,21.0,33
2015-10-01,19TEK_nlcd24_00,19TEK,19T,24,2024,4.0,22.0,37
2015-10-01,19TEK_nlcd24_01,19TEK,19T,24,2024,4.0,1.0,37
2015-10-01,19TEL_nlcd24_00,19TEL,19T,24,2024,4.0,8.0,40
2015-10-01,19TEL_nlcd24_01,19TEL,19T,24,2024,5.0,11.0,41
2015-10-01,19TEM_nlcd24_00,19TEM,19T,24,2024,4.0,4.0,28
2015-10-01,19TEM_nlcd24_01,19TEM,19T,24,2024,4.0,13.0,30
2015-10-01,19TFK_nlcd24_00,19TFK,19T,24,2024,5.0,42.0,34
2015-10-01,19TFK_nlcd24_01,19TFK,19T,24,2024,4.0,7.0,35
2015-10-01,19TBG_nlcd31_00,19TBG,19T,31,2024,4.0,59.0,54
2015-10-01,19TBH_nlcd31_00,19TBH,19T,31,2024,4.0,40.0,49
2015-10-01,19TBJ_nlcd31_00,19TBJ,19T,31,2024,4.0,13.0,42
2015-10-01,19TBK_nlcd31_00,19TBK,19T,31,2024,5.0,16.0,39
2015-10-01,19TCG_nlcd31_00,19TCG,19T,31,2024,5.0,41.0,49
2015-10-01,19TCG_nlcd31_01,19TCG,19T,31,2024,4.0,19.0,44
2015-10-01,19TCH_nlcd31_00,19TCH,19T,31,2024,5.0,42.0,51
2015-10-01,19TCH_nlcd31_01,19TCH,19T,31,2024,4.0,26.0,49
2015-10-01,19TCJ_nlcd31_00,19TCJ,19T,31,2024,4.0,51.0,49
2015-10-01,19TCJ_nlcd31_01,19TCJ,19T,31,2024,4.0,15.0,40
2015-10-01,19TCK_nlcd31_00,19TCK,19T,31,2024,5.0,24.0,33
2015-10-01,19TCK_nlcd31_01,19TCK,19T,31,2024,4.0,39.0,34
2015-10-01,19TDJ_nlcd31_00,19TDJ,19T,31,2024,5.0,27.0,42
2015-10-01,19TDJ_nlcd31_01,19TDJ,19T,31,2024,5.0,45.0,40
2015-10-01,19TDK_nlcd31_00,19TDK,19T,31,2024,5.0,34.0,42
2015-10-01,19TDK_nlcd31_01,19TDK,19T,31,2024,4.0,43.0,42
