latitude,longitude,mgrs_tile,nlcd,nlcd_year
40.512725822767834,-101.6428077308433,14TKK,24,2024
40.07548636156028,-101.7839914542985,14TKK,31,2024
39.89543857758965,-101.63791445687677,14TKK,41,2024
40.48065799131921,-101.72357500457335,14TKK,42,2024
40.17244188291122,-101.97128232662715,14TKK,43,2024
40.00308073443226,-101.81260265278314,14TKK,52,2024
40.08694560791372,-101.65583830619876,14TKK,71,2024
40.03533059276575,-101.69404767315703,14TKK,81,2024
39.808661522998605,-101.54504080726393,14TKK,82,2024
40.44254444777137,-101.54327241167485,14TKK,90,2024
40.118226069137485,-101.35774579033344,14TKK,95,2024
41.11177147755709,-101.71340473286659,14TKL,24,2024
41.12092356642492,-101.44898670214658,14TKL,31,2024
41.16302378479791,-101.4056752261173,14TKL,41,2024
41.2198521089084,-101.99677067538498,14TKL,42,2024
41.208063384597914,-101.68508114488057,14TKL,43,2024
41.514117109364946,-101.91122144887811,14TKL,52,2024
40.6228241464762,-101.7894795370142,14TKL,71,2024
40.73863810023798,-101.48387121813231,14TKL,81,2024
40.91449827237716,-101.39354205716874,14TKL,82,2024
41.17362491005686,-101.4906000301784,14TKL,90,2024
41.18371251094254,-101.51810358766791,14TKL,95,2024
41.997346482675425,-101.75157944221458,14TKM,24,2024
41.54691763196507,-101.53104071836496,14TKM,31,2024
42.37925798127348,-101.6899107831033,14TKM,41,2024
42.198871684472,-101.75174255891231,14TKM,42,2024
41.57422196093448,-101.60108861194435,14TKM,43,2024
41.524451354407255,-101.92007514320434,14TKM,52,2024
42.25970595549764,-101.42567476423463,14TKM,71,2024
41.54833242511233,-101.98997716671558,14TKM,81,2024
41.941359993477946,-101.56410003439274,14TKM,82,2024
41.65173243375378,-101.45352894241712,14TKM,90,2024
41.724859423422124,-101.42611187717148,14TKM,95,2024
43.17553853660488,-101.73467832709122,14TKN,24,2024
42.56337123050996,-101.97243635629873,14TKN,31,2024
43.304062185037104,-101.74988619302606,14TKN,41,2024
43.26940562114714,-101.8094963668651,14TKN,42,2024
43.24216058510546,-101.73131453631753,14TKN,43,2024
42.57044845566953,-101.63931505029265,14TKN,52,2024
42.668584820810395,-101.79854524978053,14TKN,71,2024
43.29145792627424,-101.50393513380848,14TKN,81,2024
43.15308430666667,-101.58794372458064,14TKN,82,2024
42.7999382515453,-101.75968002263538,14TKN,90,2024
42.82138323424153,-101.85795893230411,14TKN,95,2024
44.038445311998245,-101.66528431138101,14TKP,24,2024
43.58636683028457,-101.82633958175707,14TKP,31,2024
43.37643247496974,-101.57596503423908,14TKP,41,2024
43.608399579008434,-101.5081462840278,14TKP,42,2024
43.3374873204415,-101.85847017992717,14TKP,43,2024
43.337189242576656,-101.93704085126367,14TKP,52,2024
43.762181421378315,-101.52093678334387,14TKP,71,2024
43.94366421769982,-101.66340886653714,14TKP,81,2024
43.68871934033379,-101.9470208870896,14TKP,82,2024
44.17976023341842,-101.88070960858899,14TKP,90,2024
43.70814365121991,-101.99403159696982,14TKP,95,2024
44.46564030024659,-101.88096511225672,14TKQ,24,2024
44.580324233931606,-101.67512059640508,14TKQ,31,2024
44.39773907797574,-101.53952730230286,14TKQ,41,2024
44.54805419826086,-101.54427356157942,14TKQ,42,2024
44.556593785413874,-101.95942173535038,14TKQ,43,2024
44.66703003903208,-101.66038918472013,14TKQ,52,2024
44.44489934952611,-101.636883836159,14TKQ,71,2024
45.07401288198925,-101.59348380702545,14TKQ,81,2024
44.37846204563606,-101.76484749016876,14TKQ,82,2024
44.76042076529476,-101.89149371176724,14TKQ,90,2024
44.71659457224051,-101.71966126394496,14TKQ,95,2024
45.441560001468964,-101.94662962789361,14TKR,24,2024
45.66197148817161,-101.8545135037279,14TKR,31,2024
45.119827581774615,-101.98465109701795,14TKR,41,2024
45.76364154621639,-101.70401396978944,14TKR,42,2024
45.19643156997318,-101.95742051527697,14TKR,43,2024
45.526635310291624,-101.8126331918458,14TKR,52,2024
45.75136688102443,-101.61573248543121,14TKR,71,2024
45.81801802667085,-101.73649808882324,14TKR,81,2024
46.0154897396156,-101.89813720379537,14TKR,82,2024
45.32606420370449,-101.62683756621306,14TKR,90,2024
45.62403127789008,-101.99181477179059,14TKR,95,2024
46.40231310201386,-101.84422927840446,14TKS,24,2024
46.38085727258957,-101.87038848428273,14TKS,31,2024
46.6482847999193,-101.99520854373118,14TKS,41,2024
46.596874252820015,-101.80324634872353,14TKS,42,2024
46.265356249820236,-101.65980363866292,14TKS,52,2024
46.581891425276034,-101.8429684657852,14TKS,71,2024
46.12582811528735,-101.75035838251273,14TKS,81,2024
46.51156700387033,-101.83205045566136,14TKS,82,2024
46.35378759011271,-101.98796606374306,14TKS,90,2024
46.461349747506084,-101.78859483014764,14TKS,95,2024
47.36263699952798,-101.83860473807923,14TKT,24,2024
47.390847085995624,-101.84033841979388,14TKT,31,2024
47.09209231769366,-101.95472822484186,14TKT,41,2024
47.2933291988032,-101.7407398074191,14TKT,42,2024
47.50542989310393,-101.70196015226367,14TKT,43,2024
46.96446505119011,-101.97852577518574,14TKT,52,2024
47.55070072902274,-101.93243803393732,14TKT,71,2024
47.211233491775275,-101.77338838860194,14TKT,81,2024
47.02519133549125,-101.75857347902996,14TKT,82,2024
47.25536836391804,-101.80335182346128,14TKT,90,2024
47.61735746899835,-101.69310937324107,14TKT,95,2024
40.195526862573914,-100.62488780739906,14TLK,24,2024
39.80792176917626,-101.04178143317296,14TLK,24,2024
40.22341644248503,-100.43052132702958,14TLK,31,2024
40.13534539742185,-101.20535020735112,14TLK,31,2024
39.942064281633904,-100.33549743698583,14TLK,41,2024
40.05695603239321,-100.31474499316604,14TLK,41,2024
40.59461515158377,-100.65083380213633,14TLK,42,2024
40.30206447308685,-100.60006378968421,14TLK,42,2024
40.625361091943724,-100.73305153617997,14TLK,43,2024
40.055684469624815,-100.8986306392211,14TLK,43,2024
40.3376782871305,-101.00322904271515,14TLK,52,2024
40.15864442615654,-100.84306402570913,14TLK,52,2024
40.004486644745434,-100.80105829008252,14TLK,71,2024
40.11001448502787,-100.31509822434072,14TLK,71,2024
