MGRS: 
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1182   0.0881   0.0014   0.8644   0.0862   0.8619   136547
        climo_mean   0.1225   0.0906   0.0015   0.8515   0.0943   0.8516   136547
      climo_median   0.1266   0.0873   0.0007   0.8725   0.0804   0.8426   136547
             conor   0.1005   0.0753  -0.0002   0.9208   0.0493   0.9005   136547
     interp_clim_a   0.1055   0.0795   0.0014   0.8580   0.0903   0.8912   136547
     interp_clim_b   0.1063   0.0798   0.0018   0.8576   0.0908   0.8895   136547
     interp_clim_c   0.1063   0.0784   0.0010   0.8685   0.0833   0.8887   136547
       whit_a_0p50   0.1197   0.0892   0.0010   0.8765   0.0782   0.8586   136547
       whit_a_0p20   0.1187   0.0879   0.0007   0.8927   0.0678   0.8619   136547
       whit_a_0p10   0.1191   0.0882   0.0005   0.9005   0.0627   0.8614   136547
       whit_a_0p05   0.1201   0.0888   0.0004   0.9055   0.0595   0.8597   136547
       whit_a_0p01   0.1221   0.0903   0.0002   0.9104   0.0562   0.8561   136547

Randomly drop one datapoint during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1033   0.0780  -0.0117   0.8915   0.0644   0.9069   136544
        climo_mean   0.1160   0.0845   0.0023   0.8804   0.0862   0.8807   136544
      climo_median   0.1201   0.0816   0.0048   0.9009   0.0742   0.8733   136544
             conor   0.0873   0.0657   0.0001   0.9448   0.0388   0.9326   136544
     interp_clim_a   0.0950   0.0717  -0.0047   0.8860   0.0753   0.9215   136544
     interp_clim_b   0.0951   0.0718  -0.0047   0.8859   0.0753   0.9214   136544
     interp_clim_c   0.0957   0.0706  -0.0034   0.8962   0.0693   0.9194   136544
       whit_a_0p50   0.1056   0.0794  -0.0061   0.9032   0.0617   0.9015   136544
       whit_a_0p20   0.1032   0.0774  -0.0034   0.9188   0.0535   0.9058   136544
       whit_a_0p10   0.1029   0.0771  -0.0023   0.9262   0.0494   0.9067   136544
       whit_a_0p05   0.1032   0.0773  -0.0017   0.9308   0.0468   0.9062   136544
       whit_a_0p01   0.1044   0.0783  -0.0012   0.9352   0.0442   0.9045   136544

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1389   0.1039   0.0214   0.8165   0.1182   0.7404   135764
        climo_mean   0.1318   0.0997  -0.0000   0.7501   0.1318   0.7532   135764
      climo_median   0.1358   0.0959  -0.0048   0.7688   0.1171   0.7393   135764
             conor   0.1169   0.0884  -0.0014   0.8416   0.0821   0.8073   135764
     interp_clim_a   0.1201   0.0912   0.0107   0.7833   0.1250   0.7970   135764
     interp_clim_b   0.1217   0.0922   0.0116   0.7834   0.1259   0.7915   135764
     interp_clim_c   0.1209   0.0901   0.0083   0.7927   0.1176   0.7932   135764
       whit_a_0p50   0.1396   0.1043   0.0122   0.8146   0.1100   0.7339   135764
       whit_a_0p20   0.1396   0.1039   0.0074   0.8238   0.1003   0.7347   135764
       whit_a_0p10   0.1407   0.1047   0.0053   0.8293   0.0954   0.7319   135764
       whit_a_0p05   0.1423   0.1058   0.0041   0.8332   0.0921   0.7279   135764
       whit_a_0p01   0.1449   0.1077   0.0029   0.8373   0.0887   0.7208   135764

Randomly drop one datapoint during the winter (Dec-Feb)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1444   0.1072   0.0225   0.7689   0.1334   0.6792   115357
        climo_mean   0.1367   0.1033   0.0028   0.6951   0.1492   0.6945   115357
      climo_median   0.1410   0.0985  -0.0041   0.7121   0.1341   0.6770   115357
             conor   0.1236   0.0930   0.0016   0.7994   0.0980   0.7528   115357
     interp_clim_a   0.1260   0.0950   0.0126   0.7320   0.1413   0.7432   115357
     interp_clim_b   0.1290   0.0967   0.0143   0.7318   0.1430   0.7309   115357
     interp_clim_c   0.1269   0.0936   0.0092   0.7405   0.1338   0.7378   115357
       whit_a_0p50   0.1444   0.1069   0.0090   0.7627   0.1229   0.6722   115357
       whit_a_0p20   0.1453   0.1071   0.0046   0.7703   0.1149   0.6699   115357
       whit_a_0p10   0.1470   0.1083   0.0031   0.7754   0.1110   0.6650   115357
       whit_a_0p05   0.1489   0.1097   0.0025   0.7792   0.1085   0.6592   115357
