MGRS: 10S
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1097   0.0836  -0.0059   0.8707   0.0738   0.8667     2104
        climo_mean   0.1199   0.0908   0.0019   0.8397   0.1006   0.8402     2104
      climo_median   0.1233   0.0876   0.0006   0.8594   0.0872   0.8320     2104
             conor   0.0975   0.0733  -0.0046   0.9242   0.0421   0.8955     2104
     interp_clim_a   0.1002   0.0769  -0.0020   0.8552   0.0872   0.8898     2104
     interp_clim_b   0.1002   0.0769  -0.0021   0.8553   0.0869   0.8898     2104
     interp_clim_c   0.1007   0.0758  -0.0026   0.8650   0.0805   0.8880     2104
       whit_a_0p50   0.1109   0.0850  -0.0061   0.8803   0.0676   0.8640     2104
       whit_a_0p20   0.1102   0.0839  -0.0064   0.8960   0.0577   0.8664     2104
       whit_a_0p10   0.1108   0.0841  -0.0065   0.9038   0.0528   0.8656     2104
       whit_a_0p05   0.1119   0.0848  -0.0065   0.9090   0.0495   0.8637     2104
       whit_a_0p01   0.1139   0.0862  -0.0066   0.9143   0.0462   0.8598     2104

Randomly drop one datapoint during the growing season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0924   0.0685  -0.0100   0.8889   0.0615   0.9243     2103
        climo_mean   0.1189   0.0854   0.0032   0.8737   0.0845   0.8710     2103
      climo_median   0.1233   0.0819   0.0062   0.8930   0.0751   0.8624     2103
             conor   0.0771   0.0575  -0.0026   0.9499   0.0296   0.9458     2103
     interp_clim_a   0.0902   0.0666  -0.0034   0.8813   0.0730   0.9282     2103
     interp_clim_b   0.0902   0.0666  -0.0035   0.8810   0.0731   0.9281     2103
     interp_clim_c   0.0906   0.0651  -0.0019   0.8910   0.0683   0.9264     2103
       whit_a_0p50   0.0945   0.0709  -0.0083   0.9040   0.0535   0.9192     2103
       whit_a_0p20   0.0918   0.0685  -0.0074   0.9197   0.0442   0.9235     2103
       whit_a_0p10   0.0910   0.0677  -0.0070   0.9271   0.0399   0.9248     2103
       whit_a_0p05   0.0908   0.0676  -0.0067   0.9316   0.0373   0.9250     2103
       whit_a_0p01   0.0914   0.0681  -0.0065   0.9360   0.0347   0.9242     2103

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1242   0.0955   0.0062   0.8259   0.1080   0.7858     2103
        climo_mean   0.1263   0.0953   0.0081   0.7751   0.1396   0.7769     2103
      climo_median   0.1307   0.0922   0.0047   0.7932   0.1256   0.7618     2103
             conor   0.1104   0.0835  -0.0011   0.8731   0.0732   0.8309     2103
     interp_clim_a   0.1118   0.0856   0.0071   0.8005   0.1238   0.8259     2103
     interp_clim_b   0.1119   0.0857   0.0072   0.8008   0.1236   0.8256     2103
     interp_clim_c   0.1127   0.0844   0.0055   0.8096   0.1168   0.8221     2103
       whit_a_0p50   0.1240   0.0952   0.0056   0.8315   0.1041   0.7869     2103
       whit_a_0p20   0.1251   0.0954   0.0040   0.8457   0.0942   0.7852     2103
       whit_a_0p10   0.1267   0.0965   0.0030   0.8528   0.0890   0.7811     2103
       whit_a_0p05   0.1285   0.0978   0.0022   0.8576   0.0855   0.7765     2103
       whit_a_0p01   0.1312   0.0998   0.0014   0.8625   0.0818   0.7693     2103

Randomly drop one datapoint during the winter (Dec-Feb)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1278   0.0979   0.0058   0.8014   0.1258   0.7384     2062
        climo_mean   0.1298   0.0997   0.0052   0.7213   0.1735   0.7247     2062
      climo_median   0.1341   0.0960   0.0023   0.7437   0.1570   0.7074     2062
             conor   0.1138   0.0871  -0.0033   0.8366   0.0954   0.7908     2062
     interp_clim_a   0.1151   0.0885   0.0055   0.7613   0.1497   0.7844     2062
     interp_clim_b   0.1152   0.0885   0.0055   0.7617   0.1494   0.7838     2062
     interp_clim_c   0.1155   0.0873   0.0040   0.7726   0.1414   0.7821     2062
       whit_a_0p50   0.1285   0.0986   0.0061   0.8041   0.1244   0.7364     2062
       whit_a_0p20   0.1297   0.0991   0.0043   0.8164   0.1151   0.7340     2062
       whit_a_0p10   0.1315   0.1005   0.0036   0.8220   0.1111   0.7288     2062
       whit_a_0p05   0.1335   0.1021   0.0033   0.8253   0.1089   0.7228     2062
       whit_a_0p01   0.1366   0.1046   0.0034   0.8282   0.1071   0.7131     2062

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
