MGRS: 12T
NLCD: 31, 41, 42, 43, 52, 71, 81, 82, 90, 95

Randomly drop one datapoint in each year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1280   0.0965   0.0015   0.7962   0.1148   0.7799     7035
        climo_mean   0.1222   0.0922  -0.0012   0.7962   0.1121   0.7992     7035
      climo_median   0.1259   0.0884  -0.0049   0.8178   0.0964   0.7883     7035
     interp_clim_a   0.1103   0.0838   0.0002   0.7962   0.1135   0.8384     7035
     interp_clim_b   0.1120   0.0847   0.0007   0.7945   0.1149   0.8331     7035
     interp_clim_c   0.1108   0.0824  -0.0017   0.8070   0.1056   0.8358     7035
       whit_a_0p50   0.1305   0.0977   0.0014   0.8134   0.1052   0.7729     7035
       whit_a_0p20   0.1301   0.0967   0.0013   0.8343   0.0934   0.7767     7035
       whit_a_0p10   0.1310   0.0971   0.0011   0.8444   0.0876   0.7754     7035
       whit_a_0p05   0.1324   0.0979   0.0009   0.8508   0.0839   0.7723     7035
       whit_a_0p01   0.1348   0.0995   0.0006   0.8569   0.0802   0.7663     7035

Randomly drop a single datapoint from the "growing" season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1137   0.0860  -0.0085   0.8377   0.0888   0.8356     7035
        climo_mean   0.1184   0.0883  -0.0028   0.8208   0.1045   0.8206     7035
      climo_median   0.1226   0.0861  -0.0046   0.8411   0.0906   0.8091     7035
     interp_clim_a   0.1013   0.0770  -0.0057   0.8293   0.0967   0.8712     7035
     interp_clim_b   0.1016   0.0773  -0.0058   0.8288   0.0968   0.8702     7035
     interp_clim_c   0.1022   0.0763  -0.0065   0.8394   0.0897   0.8677     7035
       whit_a_0p50   0.1170   0.0883  -0.0033   0.8519   0.0855   0.8258     7035
       whit_a_0p20   0.1152   0.0867  -0.0011   0.8731   0.0749   0.8322     7035
       whit_a_0p10   0.1151   0.0865  -0.0005   0.8833   0.0694   0.8334     7035
       whit_a_0p05   0.1157   0.0868  -0.0003   0.8898   0.0657   0.8327     7035
       whit_a_0p01   0.1171   0.0878  -0.0003   0.8961   0.0620   0.8299     7035

Randomly drop a single datapoint from the "non-growing" season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1553   0.1195   0.0282   0.7085   0.1616   0.5941     6910
        climo_mean   0.1315   0.1019   0.0034   0.6755   0.1518   0.6833     6910
      climo_median   0.1356   0.0974  -0.0024   0.6918   0.1385   0.6642     6910
     interp_clim_a   0.1265   0.0989   0.0158   0.6920   0.1567   0.7118     6910
     interp_clim_b   0.1302   0.1011   0.0177   0.6897   0.1596   0.6948     6910
     interp_clim_c   0.1268   0.0974   0.0129   0.7001   0.1501   0.7083     6910
       whit_a_0p50   0.1555   0.1189   0.0138   0.7136   0.1448   0.5871     6910
       whit_a_0p20   0.1571   0.1197   0.0077   0.7259   0.1330   0.5833     6910
       whit_a_0p10   0.1595   0.1212   0.0053   0.7331   0.1274   0.5766     6910
       whit_a_0p05   0.1620   0.1229   0.0041   0.7382   0.1239   0.5691     6910
       whit_a_0p01   0.1659   0.1257   0.0031   0.7434   0.1205   0.5576     6910

Randomly drop a datapoint from the winter (Dec-Feb)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1717   0.1306   0.0301   0.6197   0.1834   0.5339     3699
        climo_mean   0.1419   0.1089   0.0049   0.6586   0.1425   0.6626     3699
      climo_median   0.1463   0.1001  -0.0049   0.6851   0.1220   0.6437     3699
     interp_clim_a   0.1396   0.1075   0.0175   0.6391   0.1629   0.6802     3699
     interp_clim_b   0.1499   0.1146   0.0229   0.6299   0.1721   0.6318     3699
     interp_clim_c   0.1398   0.1046   0.0126   0.6524   0.1527   0.6755     3699
       whit_a_0p50   0.1715   0.1293   0.0202   0.6357   0.1671   0.5328     3699
       whit_a_0p20   0.1728   0.1291   0.0156   0.6610   0.1522   0.5331     3699
       whit_a_0p10   0.1750   0.1302   0.0136   0.6745   0.1448   0.5289     3699
       whit_a_0p05   0.1776   0.1319   0.0126   0.6834   0.1402   0.5228     3699
       whit_a_0p01   0.1814   0.1347   0.0118   0.6922   0.1359   0.5126     3699

Randomly drop a single datapoint that is next to an existing missing data point
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1757   0.1369   0.0274   0.6771   0.1973   0.5704     6394
        climo_mean   0.1390   0.1063  -0.0033   0.7030   0.1531   0.7120     6394
      climo_median   0.1441   0.1016  -0.0086   0.7184   0.1396   0.6921     6394
     interp_clim_a   0.1409   0.1091   0.0121   0.6900   0.1752   0.7062     6394
     interp_clim_b   0.1459   0.1128   0.0143   0.6823   0.1816   0.6855     6394
     interp_clim_c   0.1422   0.1079   0.0094   0.6977   0.1685   0.6996     6394
       whit_a_0p50   0.1779   0.1378   0.0212   0.7155   0.1709   0.5710     6394
       whit_a_0p20   0.1795   0.1385   0.0152   0.7342   0.1552   0.5700     6394
       whit_a_0p10   0.1822   0.1404   0.0118   0.7424   0.1474   0.5634     6394
       whit_a_0p05   0.1852   0.1427   0.0094   0.7469   0.1427   0.5554     6394
       whit_a_0p01   0.1897   0.1463   0.0068   0.7504   0.1382   0.5428     6394

Randomly drop a two month gap during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1569   0.1199   0.0077   0.7279   0.1555   0.6684     7035
