MGRS: 18T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1355   0.1014   0.0087   0.7823   0.1816   0.8007     4482
        climo_mean   0.1195   0.0882   0.0002   0.8389   0.1280   0.8439     4482
      climo_median   0.1231   0.0845  -0.0010   0.8620   0.1085   0.8352     4482
             conor   0.1097   0.0827   0.0023   0.8917   0.0883   0.8692     4482
     interp_clim_a   0.1133   0.0852   0.0045   0.8106   0.1548   0.8630     4482
     interp_clim_b   0.1151   0.0861   0.0059   0.8067   0.1594   0.8588     4482
     interp_clim_c   0.1139   0.0840   0.0039   0.8221   0.1450   0.8601     4482
       whit_a_0p50   0.1347   0.1011   0.0070   0.8125   0.1558   0.8024     4482
       whit_a_0p20   0.1329   0.0994   0.0065   0.8380   0.1351   0.8084     4482
       whit_a_0p10   0.1332   0.0994   0.0063   0.8496   0.1256   0.8086     4482
       whit_a_0p05   0.1341   0.1000   0.0061   0.8566   0.1199   0.8069     4482
       whit_a_0p01   0.1360   0.1015   0.0058   0.8633   0.1143   0.8027     4482

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1133   0.0867  -0.0190   0.8332   0.1314   0.8355     4482
        climo_mean   0.1002   0.0743  -0.0027   0.8583   0.1251   0.8678     4482
      climo_median   0.1022   0.0707   0.0009   0.8770   0.1118   0.8625     4482
             conor   0.0922   0.0700  -0.0009   0.9105   0.0798   0.8884     4482
     interp_clim_a   0.0947   0.0719  -0.0109   0.8457   0.1282   0.8850     4482
     interp_clim_b   0.0952   0.0721  -0.0108   0.8448   0.1291   0.8839     4482
     interp_clim_c   0.0947   0.0703  -0.0090   0.8551   0.1216   0.8837     4482
       whit_a_0p50   0.1131   0.0862  -0.0110   0.8506   0.1237   0.8332     4482
       whit_a_0p20   0.1113   0.0847  -0.0069   0.8716   0.1089   0.8386     4482
       whit_a_0p10   0.1113   0.0846  -0.0053   0.8815   0.1015   0.8391     4482
       whit_a_0p05   0.1120   0.0848  -0.0045   0.8880   0.0965   0.8380     4482
       whit_a_0p01   0.1134   0.0857  -0.0038   0.8945   0.0913   0.8349     4482

Randomly drop one datapoint in the non-growing season (Oct-Mar)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1688   0.1298   0.0417   0.7119   0.2269   0.6260     4422
        climo_mean   0.1433   0.1104  -0.0106   0.6895   0.1890   0.7057     4422
      climo_median   0.1492   0.1067  -0.0176   0.7087   0.1697   0.6843     4422
             conor   0.1381   0.1067  -0.0104   0.7593   0.1443   0.7280     4422
     interp_clim_a   0.1396   0.1079   0.0156   0.7007   0.2080   0.7233     4422
     interp_clim_b   0.1426   0.1097   0.0190   0.6984   0.2129   0.7122     4422
     interp_clim_c   0.1411   0.1071   0.0121   0.7103   0.1983   0.7149     4422
       whit_a_0p50   0.1671   0.1291   0.0246   0.7266   0.2004   0.6230     4422
       whit_a_0p20   0.1664   0.1281   0.0152   0.7470   0.1778   0.6269     4422
       whit_a_0p10   0.1676   0.1288   0.0110   0.7579   0.1666   0.6248     4422
       whit_a_0p05   0.1694   0.1300   0.0083   0.7650   0.1594   0.6207     4422
       whit_a_0p01   0.1725   0.1325   0.0057   0.7719   0.1524   0.6126     4422

Randomly drop one datapoint during the winter
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1841   0.1387   0.0509   0.6324   0.2468   0.4917     3115
        climo_mean   0.1540   0.1178   0.0009   0.5820   0.2236   0.5845     3115
