MGRS: 
NLCD: 52

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1145   0.0849   0.0015   0.8724   0.0742   0.8719    12614
        climo_mean   0.1263   0.0932   0.0041   0.8525   0.0881   0.8444    12614
      climo_median   0.1307   0.0903   0.0052   0.8820   0.0724   0.8360    12614
             conor   0.0968   0.0718  -0.0001   0.9275   0.0412   0.9088    12614
     interp_clim_a   0.1047   0.0787   0.0028   0.8625   0.0812   0.8941    12614
     interp_clim_b   0.1053   0.0790   0.0031   0.8623   0.0815   0.8929    12614
     interp_clim_c   0.1056   0.0776   0.0033   0.8772   0.0733   0.8914    12614
       whit_a_0p50   0.1150   0.0852   0.0012   0.8856   0.0664   0.8712    12614
       whit_a_0p20   0.1141   0.0840   0.0010   0.9016   0.0570   0.8738    12614
       whit_a_0p10   0.1147   0.0843   0.0008   0.9094   0.0524   0.8730    12614
       whit_a_0p05   0.1157   0.0849   0.0006   0.9143   0.0494   0.8713    12614
       whit_a_0p01   0.1177   0.0864   0.0004   0.9193   0.0464   0.8677    12614

Randomly drop one datapoint during the growing season (Apr-Sept
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.0996   0.0746  -0.0103   0.8975   0.0554   0.9193    12614
        climo_mean   0.1198   0.0879   0.0063   0.8882   0.0779   0.8817    12614
      climo_median   0.1248   0.0853   0.0119   0.9162   0.0656   0.8744    12614
             conor   0.0838   0.0629   0.0010   0.9536   0.0307   0.9421    12614
     interp_clim_a   0.0935   0.0706  -0.0020   0.8929   0.0666   0.9291    12614
     interp_clim_b   0.0935   0.0706  -0.0020   0.8929   0.0666   0.9292    12614
     interp_clim_c   0.0944   0.0696   0.0008   0.9068   0.0605   0.9267    12614
       whit_a_0p50   0.1000   0.0750  -0.0051   0.9132   0.0505   0.9176    12614
       whit_a_0p20   0.0979   0.0732  -0.0024   0.9290   0.0431   0.9208    12614
       whit_a_0p10   0.0979   0.0731  -0.0013   0.9361   0.0396   0.9210    12614
