MGRS: 
NLCD: 82

Randomly drop one datapoint in each year
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1386   0.1067   0.0010   0.7421   0.1597   0.7395    12616
        climo_mean   0.1512   0.1155   0.0014   0.6887   0.1929   0.6899    12616
      climo_median   0.1565   0.1108   0.0026   0.7260   0.1712   0.6723    12616
             conor   0.1180   0.0903  -0.0003   0.8403   0.0979   0.8123    12616
     interp_clim_a   0.1276   0.0992   0.0012   0.7154   0.1763   0.7857    12616
     interp_clim_b   0.1280   0.0994   0.0015   0.7154   0.1766   0.7840    12616
     interp_clim_c   0.1283   0.0974   0.0018   0.7341   0.1654   0.7795    12616
       whit_a_0p50   0.1457   0.1117   0.0006   0.7474   0.1560   0.7138    12616
       whit_a_0p20   0.1407   0.1071   0.0004   0.7837   0.1335   0.7347    12616
       whit_a_0p10   0.1391   0.1055   0.0002   0.8026   0.1217   0.7426    12616
       whit_a_0p05   0.1387   0.1049   0.0001   0.8149   0.1139   0.7457    12616
       whit_a_0p01   0.1392   0.1051  -0.0001   0.8273   0.1061   0.7460    12616

Randomly drop a single datapoint from the "growing" season (Apr-Sept)
            method     rmse      mae      mbe        m        b       r2        n
       interpolate   0.1368   0.1064  -0.0119   0.7400   0.1668   0.7629    12616
        climo_mean   0.1549   0.1173   0.0028   0.6921   0.2144   0.6931    12616
      climo_median   0.1609   0.1124   0.0081   0.7360   0.1895   0.6749    12616
             conor   0.1137   0.0869   0.0008   0.8545   0.1008   0.8349    12616
     interp_clim_a   0.1277   0.1002  -0.0045   0.7160   0.1906   0.8004    12616
     interp_clim_b   0.1277   0.1002  -0.0045   0.7161   0.1905   0.8005    12616
     interp_clim_c   0.1281   0.0975  -0.0019   0.7380   0.1782   0.7938    12616
       whit_a_0p50   0.1448   0.1123  -0.0070   0.7330   0.1764   0.7321    12616
       whit_a_0p20   0.1374   0.1056  -0.0043   0.7769   0.1490   0.7591    12616
       whit_a_0p10   0.1344   0.1028  -0.0032   0.8007   0.1337   0.7703    12616
       whit_a_0p05   0.1331   0.1016  -0.0026   0.8167   0.1233   0.7757    12616
       whit_a_0p01   0.1327   0.1012  -0.0021   0.8328   0.1127   0.7784    12616

Randomly drop a single datapoint from the "non-growing" season (Oct-Mar)
